"publisher","year","value"
"quinoa",2019,311655.945696
"quinoa",2020,322501.87586
"raleigh_int",2018,525464.303
"raleigh_int",2019,4920169.833072
"raleigh_int",2020,437532.6522
"rc",2018,2634035.2644
"rc",2019,2627889.5799
"rc",2020,2805859.7234
"rc4d",2018,1439152.24556
"rc4d",2019,1074033.275352
"rc4d",2020,996787.26784
"rcn",2018,2814742.102
"rcn",2019,2715892.9743
"rcn",2020,2436099.742
"rcog_resilience_in_obstetric_skills",2018,133473.754132
"reach-iraq",2018,419948
"redbarnet",2018,18453222
"redbarnet",2019,17861651.4
"redeenkind",2018,2956974.338
"redeenkind",2019,2035295.6469
"redeenkind",2020,1830363.288
"ri_kenya",2018,3797638.9722
"ri_kenya",2019,3611724.9597
"ri_kenya",2020,1300257.9743
"rikolto",2018,6976286.55522
"rikolto",2019,6242686.198341
"rikolto",2020,5652548.00206
"rikolto_belgium",2018,11713946.2348
"rikolto_belgium",2019,10693551.871797
"rikolto_belgium",2020,9906995.15608
"rkiv",2018,9326435.22868
"rkiv",2019,5540104.551381
"rkiv",2020,4592334.2014
"rtp",2018,728635.704
"rtp",2019,438676.4223
"rutgers",2018,13947287.654
"saferworld",2018,12058862.802014
"saferworld",2019,6883675.971543
"saferworld",2020,4923651.253978
"sci",2018,55401168.1994
"sciaf",2018,1374300.88904
"sciaf",2019,1085294.10951
"sciaf",2020,687430.0107
"scibelgium",2018,320762.002
"scibelgium",2019,326095.9029
"scibelgium",2020,334280.03
"scnl",2018,23058759.932
"scnl",2019,2477071.0236
"scnl",2020,2280666.14
"scuk",2018,84743744.4412
"sddirect",2018,2678477.247714
"self-help-africa",2018,80578.026
"sendacow",2018,2734300.314242
"sendacow",2019,1375897.039686
"sendacow",2020,1086435.010415
"sense_international",2018,291185.629
"sense_international",2019,239917.9419
"sense_international",2020,256547.9842
"sfcg",2018,808339.648
"sfcg",2019,431990.4984
"sg",2018,2151004.318
"sg",2019,2128199.9124
